chunk_id,source_id,chapter,section,topic,keywords,chunk_text
PH001,physics_openstax,1,1.1 Nature of Physics,kinematics,"velocity, speed, distance, displacement","Kinematics is the branch of physics that describes motion without considering its causes. The key quantities in kinematics are displacement, velocity, and acceleration. Displacement is the change in position of an object and is a vector quantity — it has both magnitude and direction. Velocity is the rate of change of displacement with respect to time. Average velocity is defined as displacement divided by the time interval over which the displacement occurs. Speed, unlike velocity, is a scalar quantity that refers only to how fast an object is moving, without considering direction."
PH002,physics_openstax,1,1.2 Acceleration,kinematics,"acceleration, velocity change, rate","Acceleration is defined as the rate of change of velocity with respect to time. When an object speeds up, slows down, or changes direction, it is accelerating. Acceleration is a vector quantity, meaning it has both magnitude and direction. Average acceleration is calculated by dividing the change in velocity by the time interval over which that change occurs. In uniform acceleration, the velocity changes at a constant rate. This is the situation described by the kinematic equations, which can be used to calculate displacement, velocity, and time for an object undergoing constant acceleration."
PH003,physics_openstax,2,2.1 Newton Laws,forces,"Newton laws, force, mass, inertia","Newton's First Law of Motion states that an object at rest will remain at rest and an object in motion will remain in motion at constant velocity unless acted upon by a net external force. This property of objects to resist changes in their state of motion is called inertia. Newton's Second Law states that the net force on an object equals the mass of the object multiplied by its acceleration: F = ma. This means the acceleration of an object is directly proportional to the net force and inversely proportional to its mass. Newton's Third Law states that for every action force there is an equal and opposite reaction force."
PH004,physics_openstax,2,2.2 Friction,forces,"friction, static friction, kinetic friction, normal force","Friction is a force that opposes the relative motion or tendency of motion between two surfaces in contact. There are two types of friction: static friction and kinetic friction. Static friction acts when surfaces are not moving relative to each other. It can range from zero up to a maximum value equal to the coefficient of static friction multiplied by the normal force. Kinetic friction acts when surfaces slide against each other and equals the coefficient of kinetic friction multiplied by the normal force. The normal force is the perpendicular force exerted by a surface on the object resting on it."
PH005,physics_openstax,3,3.1 Work and Energy,energy,"work, kinetic energy, potential energy, joule","Work is done when a force causes a displacement of an object in the direction of the force. Work is calculated as the product of force and displacement in the direction of force: W = F × d × cos(θ). The unit of work is the joule (J). Kinetic energy is the energy an object possesses because of its motion and is given by KE = ½mv². Potential energy is stored energy due to an object's position or configuration. Gravitational potential energy equals mgh, where m is mass, g is gravitational acceleration, and h is the height above a reference level. The work-energy theorem states that the net work done on an object equals its change in kinetic energy."
PH006,physics_openstax,3,3.2 Conservation of Energy,energy,"conservation, energy transformation, mechanical energy","The law of conservation of energy states that energy cannot be created or destroyed — it can only be converted from one form to another. The total energy of an isolated system remains constant. Mechanical energy is the sum of kinetic energy and potential energy. In a system with no non-conservative forces (like friction), mechanical energy is conserved. When friction or other dissipative forces are present, some mechanical energy is converted to thermal energy, but total energy is still conserved. This principle is one of the most fundamental laws in physics and applies across all physical processes."
PH007,physics_openstax,4,4.1 Waves,waves,"wave, frequency, wavelength, amplitude","A wave is a disturbance that transfers energy from one place to another without transferring matter. Waves can be classified as transverse or longitudinal. In transverse waves, the oscillation is perpendicular to the direction of wave travel — light waves are an example. In longitudinal waves, the oscillation is parallel to the direction of wave travel — sound waves are an example. The key properties of waves include amplitude (maximum displacement from equilibrium), wavelength (distance between successive wave crests), frequency (number of complete waves passing a point per second), and wave speed (product of frequency and wavelength)."
PH008,physics_openstax,4,4.2 Sound,waves,"sound, pressure wave, decibel, pitch","Sound is a longitudinal pressure wave that requires a medium for propagation. Sound waves travel through air as compressions and rarefactions — regions of high and low pressure. The speed of sound in air at room temperature is approximately 343 m/s. The frequency of a sound wave determines its pitch: higher frequency corresponds to higher pitch. The intensity of sound is related to its amplitude. Sound intensity is measured in decibels (dB). The threshold of human hearing is defined as 0 dB, and sound becomes painful at about 130 dB. Sound cannot travel through a vacuum because it requires a medium of particles to compress and expand."
PH009,physics_openstax,5,5.1 Electric Charge,electricity,"charge, Coulomb law, electric force, proton, electron","Electric charge is a fundamental property of matter. There are two types of electric charge: positive and negative. Like charges repel and opposite charges attract. The unit of charge is the coulomb (C). The electron carries a charge of -1.6 × 10⁻¹⁹ C and the proton carries +1.6 × 10⁻¹⁹ C. Coulomb's Law quantifies the force between two point charges: F = k × q₁ × q₂ / r², where k is Coulomb's constant (8.99 × 10⁹ N·m²/C²), q₁ and q₂ are the charges, and r is the distance between them. The electric force acts along the line joining the two charges."
PH010,physics_openstax,5,5.2 Electric Current,electricity,"current, voltage, resistance, Ohm law","Electric current is the flow of electric charge. In metallic conductors, current flows due to the movement of free electrons. Current is measured in amperes (A), where 1 ampere equals 1 coulomb of charge flowing per second. Voltage (or electric potential difference) is the energy per unit charge that drives current through a circuit, measured in volts (V). Resistance is the opposition to the flow of current, measured in ohms (Ω). Ohm's Law relates these quantities: V = IR, meaning voltage equals current multiplied by resistance. This relationship holds for many materials called ohmic conductors, where resistance remains constant across a range of voltages."
